Class,1st place,2nd place,3rd place,4th place,5th place
Buildings,0.05891,0.06201,0.0629,0.06295,0.05956
Man made struct,0.02033,0.02226,0.02015,0.02311,0.02653
Road,0.06089,0.05622,0.05605,0.04618,0.05031
Track,0.03992,0.04214,0.03965,0.0441,0.03659
Trees,0.07566,0.06471,0.06984,0.06445,0.06656
Crops,0.08344,0.08237,0.0828,0.08549,0.0808
Waterway,0.08832,0.09072,0.09131,0.08887,0.08883
Standing water,0.05042,0.04698,0.05272,0.01817,0.01823
Vehicle Large,0.01685,0.00757,0,0.01414,0.00202
Vehicle Small,0.01053,0.00439,0,0.0114,0.01197
